"Process Name","Working Set"
"chrome","239190016"
"chrome","264462336"
"chrome","203067392"
"Code","116822016"
"Code","179073024"
"Code","125804544"
"Code","195493888"
"dwm","169713664"
"explorer","182157312"
"KillerNetworkService","119881728"
"Memory Compression","194854912"
"Microsoft.Notes","114434048"
"msedge","413519872"
"msedge","106393600"
"MsMpEng","246951936"
"ONENOTE","106962944"
"powershell","127356928"
"SearchApp","205557760"
"SupportAssistAgent","109723648"
"SystemSettings","108023808"
